review_text,rating,Time,cleaned_review
"Wow! Since I have discovered my sensitivity to gluten, it's been difficult finding a quick breakfast bar to fit in with my busy life. However, after finding Kind bars, my confidence has been restored in gluten free food. It can both taste yummy and be nice to my tummy! The peanut butter dark chocolate + protein bars are a great mid morning snack as well as a dessert after dinner. I L-O-V-E them!",5,1299542400,wow since discovered sensitivity gluten difficult finding quick breakfast bar fit busy life however finding kind bars confidence restored gluten free food taste yummy nice tummy peanut butter dark chocolate protein bars great mid morning snack well dessert dinner love
"I have been very happy with the Grove Square K-Cup products.  I really like the creamy Cappuccino French Vanilla flavor.  The French Vanilla is great when you want a coffee that's creamy with a light flavor.  Great Price, cost less then other K-Cups which is also a great selling point!  I also like Grove Square Dark Chocolate Hot Cocoa, Grove Square Caramel Apple Cider, and think the Grove Square Medium Roast is okay (it is an instant coffee, so it's lighter in flavor but still good).",5,1334534400,happy grove square kcup products really like creamy cappuccino french vanilla flavor french vanilla great want coffee thats creamy light flavor great price cost less kcups also great selling point also like grove square dark chocolate hot cocoa grove square caramel apple cider think grove square medium roast okay instant coffee lighter flavor still good
"This isn't going to be as good as some of the other products on amazon, but it is a good compromise between price and taste.",4,1345593600,isnt going good products amazon good compromise price taste
"These steaks were pretty tasty, but two of the four steaks contained an unpleasant bite of gristle. We enjoyed the steaks for the most part.",4,1294531200,steaks pretty tasty two four steaks contained unpleasant bite gristle enjoyed steaks part
"<span class=""tiny""> Length:: 1:05 Mins<br /><br /></span>These are good treats with a good crunch and apparently a good flavor.  You can see my dogs enjoying them in the video.",5,1309996800,span classtiny length minsbr br spanthese good treats good crunch apparently good flavor see dogs enjoying video
"When I first got them he gulped them down, but the ziplock on them doesn't work that well and at a dosage of only one or two treats a day like the bag says they have gotten kind of dried out and he doesn't like them as much anymore.  I also have not noticed any real improvement in the stiffness of his gait.",3,1296777600,first got gulped ziplock doesnt work well dosage one two treats day like bag says gotten kind dried doesnt like much anymore also noticed real improvement stiffness gait
Grove Square Cappuccino Cups were excellent. Tasted really good right from the Keurig brewer with nothing added.  wWould highly recommend.  RCCJR,5,1332028800,grove square cappuccino cups excellent tasted really good right keurig brewer nothing added wwould highly recommend rccjr
"While I haven't met a pure maple syrup that I didn't like, this is a great syrup for the price - especially being organic!",5,1266796800,havent met pure maple syrup didnt like great syrup price especially organic
"I purchased this cake for my fiance. He was surprised to get a cake for his birthday. He liked it, especially the hazelnuts, he said the cake taste really good.",5,1332892800,purchased cake fiance surprised get cake birthday liked especially hazelnuts said cake taste really good
"Since the Wall Street traders sent the coffee futures up 150% in 18 months, I have been on a mission to find a cheap source of good coffee.<br /><br />The cheapest one on Amazon is the 8 O'clock french roast, it's decent, but I wanted to try something better. Even though the 8 O'clock was labeled as ""dark roast"", it's far from it.<br /><br />That's why I wanted to give this dark Santos a try! The beans are oily and the crema was nice! So far I've been very impressed!",5,1340928000,since wall street traders sent coffee futures months mission find cheap source good coffeebr br cheapest one amazon oclock french roast decent wanted try something better even though oclock labeled dark roast far itbr br thats wanted give dark santos try beans oily crema nice far ive impressed
